Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; focused lateralization,Neutral Happy,ROT minus LOT,Social Phobia,Social Phobia Raw,35,0.2706757901655326,-0.06877431990197196,0.5539546443277917,0.11578760289340818,0.030332926396172973,0.8626715397248765,P27,-0.06354593476234083,-0.06354593476234083,0.3032297638345975,0.15438347052454424,0.32163223025946713,0.32075712256973254,0.8626715397248765,1.0,1.0
All 35 participants; focused lateralization,Neutral Happy,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,0.17731404163033737,-0.16572508055249835,0.48207510943942217,0.3081981089306162,-0.10073373819993041,0.5647683830898554,P27,-0.28507700955377396,-0.28507700955377396,0.27895680469562734,0.3081981089306162,0.6420793936054503,0.32075712256973254,0.7530245107864739,1.0,1.0
All 35 participants; focused lateralization,Neutral Sad,ROT minus LOT,Social Phobia,Social Phobia Raw,35,0.42303135146934656,0.10451928035753331,0.6628354992664253,0.011343717128154783,0.5044253315511726,0.00200214460071793,P3,0.4600080904913053,0.3912115310823524,0.4600080904913053,0.04537486851261913,0.0945309760679565,0.04537486851261913,0.00800857840287172,0.016684538339316077,0.00800857840287172
All 35 participants; focused lateralization,Neutral Sad,ROT minus LOT,Panic Disorder,Panic Disorder Raw,35,0.2772076152741623,-0.06174261853200583,0.558830269048626,0.10691904085657751,0.20358967594058971,0.24077757460740323,P27,0.17410386398287275,0.17410386398287275,0.3668373599155811,0.15438347052454424,0.32163223025946713,0.32075712256973254,0.48155514921480647,1.0,0.7223327238222097
P27 omitted; focused lateralization,Neutral Happy,ROT minus LOT,Social Phobia,Social Phobia Raw,34,-0.06354593476234083,-0.3932608287069532,0.2806506809222269,0.7210656493078021,-0.04780529433211989,0.7883319163231173,P26,-0.17042936584683788,-0.17042936584683788,0.025182457687495968,0.7210656493078021,1.0,0.7210656493078021,0.7883319163231173,1.0,0.9405667621155125
P27 omitted; focused lateralization,Neutral Happy,ROT minus LOT,Panic Disorder,Panic Disorder Raw,34,-0.28507700955377396,-0.5684429503683495,0.058752633894028475,0.10221542163044896,-0.17812162434795045,0.31352225403850414,P8,-0.14143687578345412,-0.378565783027419,-0.14143687578345412,0.20443084326089792,0.42589759012687056,0.3066462648913469,0.5380659097976425,1.0,0.9405667621155125
P27 omitted; focused lateralization,Neutral Sad,ROT minus LOT,Social Phobia,Social Phobia Raw,34,0.45329155353752115,0.13596808464832177,0.6862617909330979,0.0070964822164235625,0.46564195344651393,0.005516202426757014,P23,0.41110869882257756,0.41110869882257756,0.4945890059496851,0.02838592886569425,0.05913735180352968,0.02838592886569425,0.022064809707028055,0.04596835355630844,0.022064809707028055
P27 omitted; focused lateralization,Neutral Sad,ROT minus LOT,Panic Disorder,Panic Disorder Raw,34,0.17410386398287275,-0.1743254085249388,0.4837861879927121,0.3247387417239451,0.1479969784261375,0.4035494323482318,P20,0.0844184091700661,0.0844184091700661,0.24654712999352257,0.43298498896526016,0.9020520603442919,0.6494774834478902,0.5380659097976425,1.0,0.9405667621155125
